Id,WnvPresent
1,0.02484415584415584
2,0.013944444444444443
3,0.02433174603174603
4,0.013944444444444443
5,0.013944444444444443
6,0.013944444444444443
7,0.013944444444444443
8,0.02433174603174603
9,0.00907142857142857
10,0.01
11,0.007
12,0.01
13,0.01
14,0.01
15,0.01
16,0.007
17,0.016399999999999998
18,0.013333333333333334
19,0.01896666666666667
20,0.013333333333333334
21,0.013333333333333334
22,0.013333333333333334
23,0.013333333333333334
24,0.0188
25,0.01
26,0.007
27,0.013
28,0.007
29,0.007
30,0.007
31,0.007
32,0.013
33,0.007
34,0.006
35,0.006
36,0.006
37,0.005
38,0.005
39,0.005
40,0.006
41,0.004
42,0.004
43,0.003
44,0.004
45,0.004
46,0.004
47,0.004
48,0.003
49,0.004
50,0.004
51,0.003
52,0.004
53,0.004
54,0.004
55,0.004
56,0.003
57,0.008
58,0.008
59,0.013
60,0.008
61,0.008
62,0.008
63,0.008
64,0.013
65,0.004666666666666666
66,0.0023333333333333335
67,0.005
68,0.0023333333333333335
69,0.0023333333333333335
70,0.0023333333333333335
71,0.0023333333333333335
72,0.005
73,0.01583333333333333
74,0.016
75,0.011552631578947368
76,0.016
77,0.016
78,0.016
79,0.016
80,0.011552631578947368
81,0.003
82,0.005
83,0.004285714285714286
84,0.005
85,0.005
86,0.005
87,0.005
88,0.004285714285714286
89,0.017
90,0.011
91,0.017
92,0.011
93,0.01
94,0.01
95,0.01
96,0.017
97,0.01
98,0.008
99,0.014
100,0.008
101,0.007
102,0.007
103,0.007
104,0.014
105,0.0003333333333333333
106,0.0
107,0.007333333333333333
108,0.0
109,0.0
110,0.0
111,0.0
112,0.007333333333333333
113,0.0055
114,0.0045
115,0.0085
116,0.0045
117,0.0045
118,0.0045
119,0.0045
120,0.0085
121,0.004
122,0.0015
123,0.009
124,0.0015
125,0.0015
126,0.0015
127,0.0015
128,0.009
129,0.011
130,0.006
131,0.012074074074074074
132,0.006
133,0.006
134,0.006
135,0.006
136,0.012074074074074074
137,0.0033333333333333335
138,0.0003333333333333333
139,0.006333333333333333
140,0.0003333333333333333
141,0.0003333333333333333
142,0.0003333333333333333
143,0.0003333333333333333
144,0.006333333333333333
145,0.012241666666666666
146,0.011458333333333334
147,0.01920833333333333
148,0.011458333333333334
149,0.011458333333333334
150,0.011458333333333334
151,0.011458333333333334
152,0.01920833333333333
153,0.012016666666666665
154,0.01125
155,0.014
156,0.01125
157,0.01125
158,0.01125
159,0.01125
160,0.014
161,0.006
162,0.011
163,0.008
164,0.011
165,0.011
166,0.011
167,0.011
168,0.008
169,0.010590909090909092
170,0.011
171,0.012
172,0.011
173,0.011
174,0.011
175,0.011
176,0.012
177,0.013435897435897437
178,0.011435897435897437
179,0.012
180,0.011435897435897437
181,0.011435897435897437
182,0.011435897435897437
183,0.011435897435897437
184,0.012
185,0.009
186,0.008
187,0.01
188,0.008
189,0.008
190,0.008
191,0.008
192,0.01
193,0.02
194,0.012
195,0.01
196,0.012
197,0.009
198,0.009
199,0.009
200,0.01
201,0.006
202,0.003
203,0.008
204,0.003
205,0.003
206,0.003
207,0.003
208,0.008
209,0.006
210,0.013
211,0.004058823529411765
